[ 21,  21,  21,  21,  21,  21,  21,  21,  21,  21,  21,  21,  21,  22,  22;
  21,  21,  21,  21,  21,  21,  21,  21,  21,  21,  21,  21,  22,  22,  22;
  22,  22,  22,  22,  22,  22,  22,  22,  22,  22,  22,  22,  22,  22,  22;
  26,  26,  26,  25,  25,  25,  25,  25,  25,  25,  26,  26,  26,  26,  26;
  31,  31,  31,  30,  30,  30,  29,  30,  30,  31,  31,  31,  31,  31,  31;
  36,  37,  37,  36,  35,  34,  34,  35,  36,  37,  37,  37,  37,  37,  38;
  42,  42,  42,  41,  40,  39,  38,  39,  41,  42,  43,  43,  42,  43,  43;
  47,  47,  47,  46,  45,  43,  43,  44,  46,  47,  48,  48,  48,  48,  49;
  52,  52,  52,  50,  49,  48,  47,  48,  51,  52,  53,  53,  53,  53,  54;
  56,  57,  56,  55,  54,  52,  51,  53,  56,  58,  59,  58,  58,  59,  60;
  61,  62,  61,  60,  58,  56,  56,  58,  61,  63,  64,  64,  63,  64,  66;
  66,  67,  66,  65,  63,  61,  60,  63,  66,  69,  70,  69,  69,  70,  71;
  71,  71,  71,  69,  67,  65,  64,  67,  71,  74,  75,  75,  74,  75,  77;
  75,  76,  75,  73,  71,  69,  68,  71,  76,  79,  80,  79,  79,  80,  82;
  76,  77,  77,  75,  72,  70,  69,  73,  78,  81,  82,  81,  81,  82,  84]
