[ 21,  22,  20,  21,  23,  20,  22,  21,  21,  22,  22,  21,  21,  22,  22;
  23,  21,  19,  22,  22,  21,  20,  23,  21,  20,  20,  21,  21,  22,  22;
  23,  22,  21,  23,  24,  22,  21,  20,  21,  21,  21,  22,  23,  21,  20;
  22,  21,  20,  23,  20,  20,  22,  21,  22,  21,  21,  22,  24,  20,  22;
  22,  21,  21,  22,  21,  20,  21,  21,  20,  21,  21,  21,  21,  21,  21;
  21,  20,  20,  21,  21,  21,  19,  22,  22,  21,  22,  21,  20,  22,  22;
  21,  24,  22,  22,  22,  23,  22,  21,  22,  20,  22,  24,  24,  22,  22;
  32,  28,  28,  25,  28,  28,  31,  31,  29,  28,  26,  28,  31,  33,  31;
  62,  56,  47,  48,  51,  60,  66,  65,  51,  50,  47,  50,  62,  70,  63;
  89,  63,  55,  53,  67,  93, 102,  88,  62,  56,  58,  67,  96, 108,  89;
  94,  70,  56,  55,  73, 101, 106,  80,  68,  54,  59,  73, 107, 113,  97;
  94,  64,  52,  57,  75,  99,  97,  80,  65,  57,  55,  74, 101, 111,  91;
  81,  60,  56,  57,  72,  95,  92,  75,  64,  56,  55,  72,  94, 103,  86;
  79,  60,  51,  57,  71,  96,  87,  71,  62,  57,  56,  75,  96, 100,  85;
  78,  61,  54,  57,  74,  99,  92,  73,  56,  54,  58,  80, 109, 107,  86]
