[ 19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19;
  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19;
  20,  20,  20,  20,  20,  20,  19,  20,  20,  20,  20,  20,  20,  20,  20;
  23,  23,  23,  23,  23,  23,  23,  23,  23,  23,  23,  24,  23,  23,  23;
  27,  28,  28,  28,  28,  27,  27,  27,  28,  29,  29,  29,  28,  28,  28;
  31,  32,  32,  32,  31,  31,  31,  31,  32,  33,  33,  33,  33,  32,  33;
  35,  37,  37,  36,  36,  35,  35,  36,  37,  38,  39,  38,  38,  37,  38;
  40,  41,  41,  41,  40,  39,  39,  40,  42,  43,  44,  43,  42,  42,  43;
  43,  45,  45,  45,  44,  43,  43,  44,  46,  48,  48,  48,  47,  47,  48;
  48,  50,  50,  49,  48,  47,  47,  48,  51,  53,  53,  53,  51,  51,  53;
  50,  53,  53,  52,  51,  50,  49,  51,  54,  56,  57,  56,  55,  55,  56;
  54,  56,  57,  56,  54,  53,  53,  55,  58,  60,  61,  60,  58,  58,  60;
  58,  61,  61,  60,  59,  58,  57,  59,  63,  65,  66,  65,  63,  63,  65;
  62,  65,  66,  65,  63,  62,  61,  64,  68,  70,  71,  70,  68,  68,  70;
  65,  68,  68,  67,  65,  64,  63,  66,  71,  73,  74,  73,  71,  71,  73]
