[ 79,  64,  60,  65,  61,  51,  32,  17,  10,   9,   9,  11,  11,  11,  10,  10,  10,  11,  13,  13,  12,  14,  15,  14,  15,  15,  18,  19,  24,  33;
  77,  64,  59,  62,  68,  65,  48,  33,  19,  10,   9,   9,  11,  11,  12,  11,  13,  11,  13,  12,  14,  13,  12,  15,  15,  15,  18,  25,  33,  43;
  77,  65,  60,  62,  70,  75,  68,  53,  30,  16,  11,  12,   9,  11,  11,  11,  13,  12,  13,  12,  13,  14,  14,  15,  15,  19,  24,  35,  44,  55;
  76,  61,  58,  58,  68,  77,  83,  65,  47,  33,  22,  14,  11,  10,  11,  12,  12,  11,  13,  12,  14,  13,  15,  17,  22,  28,  39,  49,  57,  58;
  74,  61,  59,  60,  71,  81,  90,  78,  58,  47,  41,  27,  20,  16,  12,  12,  13,  13,  14,  14,  15,  18,  19,  27,  32,  46,  58,  68,  61,  59;
  73,  62,  59,  60,  75,  86,  93,  80,  63,  58,  48,  48,  42,  31,  27,  22,  18,  18,  19,  22,  23,  29,  35,  44,  54,  67,  80,  79,  61,  57;
  76,  59,  61,  65,  72,  91, 101,  82,  68,  63,  61,  66,  68,  60,  50,  45,  38,  36,  35,  40,  50,  53,  57,  58,  69,  88,  92,  77,  62,  54;
  75,  62,  63,  63,  77,  96, 100,  81,  67,  61,  63,  71,  84,  83,  70,  64,  55,  53,  57,  66,  75,  74,  65,  64,  79,  89,  95,  72,  61,  57;
  74,  63,  58,  62,  78,  94, 102,  79,  70,  58,  60,  69,  93,  95,  76,  64,  59,  60,  64,  82,  87,  82,  63,  60,  77,  91,  94,  74,  62,  59;
  71,  61,  56,  66,  81,  91,  97,  77,  66,  57,  60,  69,  84,  92,  76,  65,  56,  53,  64,  84,  95,  81,  63,  59,  69,  93,  90,  77,  65,  57;
  66,  58,  56,  62,  79,  96,  92,  72,  65,  58,  60,  71,  83,  93,  78,  64,  58,  56,  68,  88,  94,  74,  60,  57,  66,  87,  90,  77,  61,  56;
  68,  61,  57,  66,  79,  94,  91,  75,  61,  57,  60,  72,  90,  96,  77,  63,  55,  58,  70,  92,  93,  70,  56,  57,  64,  81,  88,  73,  59,  54;
  67,  58,  58,  68,  85, 101,  98,  74,  63,  57,  60,  73,  91,  96,  74,  55,  53,  59,  71,  91,  93,  70,  57,  55,  66,  83,  87,  72,  59,  56;
  68,  60,  61,  69,  87, 100,  95,  73,  59,  55,  62,  76,  95,  94,  71,  58,  54,  58,  78,  93,  89,  68,  56,  52,  68,  89,  90,  71,  61,  55;
  69,  59,  62,  67,  85,  95,  92,  70,  58,  54,  62,  80,  92,  93,  73,  58,  53,  59,  79,  94,  87,  64,  55,  56,  70,  92,  92,  74,  58,  55]
